"","user_id","reg_id","author_id","email","name","pw_hash","privilege"
"1",49,1,"50","pellentesque@madeupemail.com","A.R. Buda","euismod","view"
"2",229,2,"0000-0001-7973-1647","suscipit@madeupemail.com","Aaron Sampson","iaculis","download"
"3",65,3,"0000-0002-0475-1106","morbi@madeupemail.com","Abdoulaye Maïga","tellus","view"
"4",153,4,"95","felis@madeupemail.com","Abdul Dosso","lacus","view"
"5",74,5,"0000-0003-1431-9832","elementum@madeupemail.com","Abel Corver","sociis","view"
"6",228,6,"147","netus@madeupemail.com","Abheera Hazra","porta","view"
"7",146,7,"325","habitasse@madeupemail.com","Abigail Park","euismod","view"
"8",122,8,"0000-0002-2347-4183","cursus@madeupemail.com","Achilles Katamba","primis","download"
"9",250,9,"0000-0003-3236-3853","luctus@madeupemail.com","Ada Y. Chen","etiam","view"
"10",128,10,"0000-0002-9146-4403","augue@madeupemail.com","Adam Kortylewski","cubilia","download"
"11",47,11,"79","torquent@madeupemail.com","Adama Cisse","interdum","view"
"12",24,12,"409","maecenas@madeupemail.com","Adama Tiendrebeogo","nec","view"
"13",71,13,"282","auctor@madeupemail.com","Adbul M. Mohammed","mauris","download"
"14",100,14,"372","porta@madeupemail.com","Aditi Sen","ut","view"
"15",89,15,"0000-0001-8044-2906","rutrum@madeupemail.com","Adnan Bibic","nunc","view"
"16",165,16,"0000-0002-5658-8654","tincidunt@madeupemail.com","Adrian M. Haith","consequat","read"
"17",110,17,"0000-0002-6262-3866","senectus@madeupemail.com","Agbessi Amouzou","tempor","read"
"18",20,18,"208","sociis@madeupemail.com","Aklilu Kidanu","parturient","view"
"19",154,19,"0000-0003-2502-7819","fusce@madeupemail.com","Alain B. Labrique","odio","view"
"20",114,20,"217","posuere@madeupemail.com","Alain Koffi","purus","read"
"21",111,21,"74","hac@madeupemail.com","Alan C. K. Cheung","elementum","download"
"22",131,22,"0000-0002-9013-1586","facilisis@madeupemail.com","Alan Chi-keung Cheung","mauris","read"
"23",41,23,"0000-0001-5207-9249","fermentum@madeupemail.com","Alan L. Yuille","curae","view"
"24",236,24,"0000-0001-8641-755X","vehicula@madeupemail.com","Albert S.B. Edge","urna","view"
