"","user_id","reg_id","auth_id","email","name","pw_hash","privilege"
"1",49,1,"1","odio@madeupemail.com","Abdullah, Omar","euismod","view"
"2",229,2,"2","aenean@madeupemail.com","Adams, Nicholas","iaculis","view"
"3",65,3,"3","dis@madeupemail.com","Adams, Nicholas","tellus","download"
"4",153,4,"4","erat@madeupemail.com","Adams, Nicholas","lacus","view"
"5",74,5,"0000-0002-6954-5776","nascetur@madeupemail.com","Afify, Ali","sociis","download"
"6",228,6,"5","nulla@madeupemail.com","Agamaite, James A.","porta","view"
"7",146,7,"0000-0002-5142-0326","tempor@madeupemail.com","Ahm, Anne-Sofie C.","euismod","view"
"8",122,8,"0000-0002-9789-3137","pretium@madeupemail.com","Ahmad, Shahryar K.","primis","download"
"9",250,9,"0000-0001-8824-8809","sociosqu@madeupemail.com","Akin, Elgin","etiam","view"
"10",250,9,"0000-0001-8824-8809","sociosqu@madeupemail.com","Akin, Elgin","cubilia","view"
"11",128,10,"0000-0001-8824-8809","morbi@madeupemail.com","Akin, Elgin","interdum","read"
"12",128,10,"0000-0001-8824-8809","morbi@madeupemail.com","Akin, Elgin","nec","read"
"13",47,11,"6","lobortis@madeupemail.com","Al-Saloum, Noor","mauris","view"
"14",24,12,"7","lobortis@madeupemail.com","Alexander, Clayton","ut","view"
"15",71,13,"8","id@madeupemail.com","Alexander, Clayton P.","nunc","read"
"16",100,14,"0000-0003-0044-1992","erat@madeupemail.com","Ali, Hasmot","consequat","download"
"17",89,15,"0000-0003-0519-7036","rutrum@madeupemail.com","Allard, Simon","tempor","read"
"18",165,16,"0000-0002-0656-7898","dui@madeupemail.com","Allen, Mark B.","parturient","view"
"19",110,17,"0000-0002-6262-3866","posuere@madeupemail.com","Amouzou, Agbessi","odio","view"
"20",110,17,"0000-0002-6262-3866","posuere@madeupemail.com","Amouzou, Agbessi","purus","view"
"21",20,18,"0000-0002-6262-3866","maecenas@madeupemail.com","Amouzou, Agbessi","elementum","view"
"22",20,18,"0000-0002-6262-3866","maecenas@madeupemail.com","Amouzou, Agbessi","mauris","download"
"23",154,19,"0000-0003-2175-3709","magnis@madeupemail.com","Anderson, Carrie M.","curae","download"
"24",114,20,"9","penatibus@madeupemail.com","Anieto, Nneoma Nonyelum","urna","view"
"25",111,21,"10","hendrerit@madeupemail.com","Ankarali, M. Mert","nullam","read"
"26",131,22,"0000-0002-1235-5373","feugiat@madeupemail.com","Ankarali, Mustafa M.","aenean","view"
"27",41,23,"11","enim@madeupemail.com","Appel, Lawrence J.","ultrices","read"
"28",236,24,"12","felis@madeupemail.com","Arend, Luke A.","molestie","view"
"29",27,25,"13","magnis@madeupemail.com","Arepally, Nageshwar","nisi","read"
"30",164,26,NA,"venenatis@madeupemail.com","accumsan","accumsan","read"
"31",223,27,NA,"mus@madeupemail.com","fusce","fusce","read"
"32",109,28,NA,"praesent@madeupemail.com","enim","enim","download"
"33",5,29,NA,"taciti@madeupemail.com","cubilia","cubilia","view"
"34",212,30,NA,"placerat@madeupemail.com","tortor","tortor","view"
"35",162,31,NA,"condimentum@madeupemail.com","erat","erat","view"
"36",92,32,NA,"donec@madeupemail.com","sem","sem","read"
"37",104,33,NA,"nec@madeupemail.com","suscipit","suscipit","read"
"38",3,34,NA,"pulvinar@madeupemail.com","fusce","fusce","download"
"39",58,35,NA,"montes@madeupemail.com","ridiculus","ridiculus","view"
"40",42,36,NA,"nam@madeupemail.com","dui","dui","view"
"41",239,37,NA,"purus@madeupemail.com","in","in","download"
"42",158,38,NA,"sed@madeupemail.com","sociis","sociis","download"
"43",43,39,NA,"torquent@madeupemail.com","nullam","nullam","read"
"44",143,40,NA,"netus@madeupemail.com","molestie","molestie","download"
"45",150,41,NA,"fusce@madeupemail.com","ad","ad","view"
"46",216,42,NA,"sodales@madeupemail.com","natoque","natoque","read"
"47",136,43,NA,"luctus@madeupemail.com","tempor","tempor","download"
"48",36,44,NA,"quis@madeupemail.com","parturient","parturient","download"
"49",68,45,NA,"primis@madeupemail.com","aliquam","aliquam","view"
"50",244,46,NA,"rutrum@madeupemail.com","quisque","quisque","download"
"51",224,47,NA,"netus@madeupemail.com","pulvinar","pulvinar","read"
"52",219,48,NA,"dignissim@madeupemail.com","penatibus","penatibus","read"
"53",197,49,NA,"rhoncus@madeupemail.com","accumsan","accumsan","read"
"54",4,50,NA,"luctus@madeupemail.com","pharetra","pharetra","view"
"55",178,51,NA,"non@madeupemail.com","sollicitudin","sollicitudin","read"
"56",99,52,NA,"dictum@madeupemail.com","ac","ac","download"
"57",177,53,NA,"egestas@madeupemail.com","netus","netus","view"
"58",232,54,NA,"vehicula@madeupemail.com","rutrum","rutrum","download"
"59",231,55,NA,"turpis@madeupemail.com","eleifend","eleifend","read"
"60",6,56,NA,"ornare@madeupemail.com","aenean","aenean","read"
"61",134,57,NA,"tellus@madeupemail.com","dignissim","dignissim","read"
"62",130,58,NA,"etiam@madeupemail.com","nibh","nibh","read"
"63",116,59,NA,"senectus@madeupemail.com","nullam","nullam","read"
"64",217,60,NA,"porttitor@madeupemail.com","lacinia","lacinia","view"
"65",118,61,NA,"cursus@madeupemail.com","torquent","torquent","download"
"66",149,62,NA,"felis@madeupemail.com","lectus","lectus","download"
"67",2,63,NA,"pharetra@madeupemail.com","aptent","aptent","download"
"68",102,64,NA,"curae@madeupemail.com","donec","donec","read"
"69",186,65,NA,"dui@madeupemail.com","class","class","read"
"70",138,66,NA,"mollis@madeupemail.com","neque","neque","read"
"71",40,67,NA,"enim@madeupemail.com","inceptos","inceptos","view"
